id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13021160,Spacious modern Bungalow with charm,71895643,Melissa,,Moreland,-37.74771,144.9753,Entire home/apt,200,3,0,,,1,0,0,
12635741,Private home in beautiful court,68620156,Ashleigh,,Monash,-37.88972,145.18073,Entire home/apt,240,5,2,2016-10-28,0.03,1,0,0,
13021208,Spacious room-Converted warehouse,71637059,Stephen,,Yarra,-37.79599,144.98072,Private room,65,2,1,2016-06-06,0.01,1,0,0,
13021933,Sunny bedroom with private balcony and view,22508819,Camille,,Yarra,-37.80968,145.00129,Private room,40,20,0,,,1,0,0,
13023654,Modern double storey townhouse  ideal for families,71922304,Debra,,Hobsons Bay,-37.84257,144.89176,Entire home/apt,180,5,0,,,1,0,0,
13026162,QUEEN BED ROOM FOR FEMALE TRAVELLERS,71949763,Adnan,,Maribyrnong,-37.79646,144.87966,Private room,50,30,0,,,1,364,0,
12637685,East Doncaster at Andersons Creek 2,43050141,Brett,,Manningham,-37.77671,145.16635,Entire home/apt,175,2,25,2021-12-27,0.34,5,0,2,
13032330,Large renovated Period family home in Fitzroy,14770833,Finbarr,,Yarra,-37.80861,144.9811,Entire home/apt,370,5,11,2022-01-22,0.17,1,1,1,
13033022,Sunny inner-city apartment,5029903,Jess,,Moreland,-37.77155,144.96137,Entire home/apt,92,2,3,2016-10-30,0.04,1,0,0,
12412968,Elwood Seaside Retreat,24839995,Catherine,,Port Phillip,-37.88749,144.98913,Private room,120,7,60,2022-05-27,0.82,2,275,8,
12654417,Family friendly - opposite park,22219360,Jeff,,Bayside,-37.95433,145.0325,Entire home/apt,180,14,0,,,1,0,0,
13033359,Melbourne CBD apartment （Preferred female guest),38048352,Felicia,,Melbourne,-37.81217,144.97037,Shared room,25,2,3,2016-07-07,0.04,1,0,0,
13033891,Stunning South Yarra Apartment,70471649,Nick,,Stonnington,-37.8412,145.00424,Entire home/apt,78,7,1,2016-07-07,0.01,1,0,0,
12656748,Comfy Art Deco Home,8642858,Jason,,Yarra,-37.78371,144.98006,Entire home/apt,200,60,1,2017-06-05,0.02,2,179,0,
12419310,Comfy Studio Apartment in the CBD,67173419,Anthony,,Melbourne,-37.81109,144.95851,Entire home/apt,69,4,187,2022-05-22,2.69,1,238,24,
12420537,"Renovated, bright terrace house",13557234,Brendan,,Yarra,-37.78881,144.978,Entire home/apt,135,3,6,2016-07-04,0.08,1,0,0,
12658362,"City views, large balcony, bbq",50546052,Stu,,Moreland,-37.76356,144.96239,Private room,70,1,0,,,1,0,0,
13035639,High spec 3 bedroom family home,72033797,Ben,,Boroondara,-37.81977,145.04408,Entire home/apt,750,3,0,,,1,248,0,
13035677,funky studio trendy acland street st kilda beach,1111899,Rachel,,Port Phillip,-37.86355,144.97325,Entire home/apt,75,7,283,2022-03-22,3.87,2,223,12,
12658786,"wellington st, st kilda",32739788,Felson,,Stonnington,-37.85592,144.98583,Private room,49,1,0,,,2,0,0,
12661098,Modern townhouse in Habour Town,17437374,Harry,,Melbourne,-37.81267,144.93833,Private room,200,1,1,2016-05-26,0.01,1,0,0,
12437007,Admire Harbour Views from a Stylish Apartment,37117603,Jackie,,Melbourne,-37.81571,144.95303,Entire home/apt,120,1,506,2022-05-29,6.79,2,289,75,
12667199,"RUSSELL PLACE  唐人街走路一分钟,CBD正中间",63987626,Chen,,Melbourne,-37.81364,144.96664,Private room,48,1,3,2017-07-02,0.05,1,0,0,
12437852,3 Bedroom House With Large Garden,26450213,Louise,,Darebin,-37.71195,144.98868,Entire home/apt,130,7,0,,,1,0,0,
12669480,Clean Private Room In A New House,16319616,Airin,,Wyndham,-37.84151,144.74105,Private room,42,1,13,2017-03-16,0.18,4,340,0,
12439388,"Private bedroom & bathroom, continental breakfast",67297926,Lynn,,Bayside,-37.92548,144.99805,Private room,70,2,77,2020-03-09,1.03,1,0,0,
12455122,CBD Located & On Top of Collins,62166053,Anna,,Melbourne,-37.8174,144.95459,Entire home/apt,116,300,335,2020-03-22,4.71,2,0,0,
13036015,"Prestigious, Private & Convenient",72065924,Joe,,Stonnington,-37.87881,145.04933,Entire home/apt,100,1,229,2022-05-29,3.18,1,53,38,
13036390,Amaze views park&beach perfect location  Cute cosy,1111899,Rachel,,Port Phillip,-37.86051,144.97185,Entire home/apt,77,21,205,2022-05-05,2.93,2,257,8,
12688697,Completely yours..enjoy,38464271,Warren,,Darebin,-37.75313,145.0023,Entire home/apt,74,3,4,2016-07-21,0.06,1,0,0,
13036921,Private and Pleasant HOME,33742229,Fi,,Manningham,-37.77215,145.13565,Private room,72,3,17,2020-01-07,0.24,1,0,0,
12689896,Student room close to CBD,68971791,Sacha,,Melbourne,-37.82416,144.9568,Shared room,16,1,0,,,1,0,0,
13047405,Stylish Northcote Home!,72203141,Sasha,,Darebin,-37.77473,144.99769,Private room,30,14,0,,,1,0,0,
13047599,Attic sous les étoiles de Melbourne CBD,30900122,S&S,,Melbourne,-37.81571,144.95303,Entire home/apt,161,1,235,2022-05-16,3.20,43,311,13,
12459528,A little luxury 5 star in Eaglemont 2 Bedroom,6538747,Marie,,Banyule,-37.76006,145.0548,Entire home/apt,211,2,18,2022-06-04,1.22,1,174,12,
12695486,Edwardian Charm with a Modern touch,27761091,James,,Stonnington,-37.85437,145.00381,Private room,75,1,0,,,1,0,0,
12713130,An Entire Home in the Centre of It All - Sky View,14582433,Vinson,,Melbourne,-37.80688,144.96279,Entire home/apt,98,2,1,2016-12-31,0.02,1,0,0,
13064725,The Orchard House,72384658,Anne,,Yarra Ranges,-37.714,145.44925,Entire home/apt,782,2,15,2022-04-02,0.23,1,111,3,
12715151,"Own room in house,",65402097,Leon,,Yarra Ranges,-37.78551,145.56935,Private room,38,1,33,2022-05-22,0.45,3,340,6,
13065716,"Comfortable, convenient and quiet inner-city pad",27023858,Pinar,,Yarra,-37.77959,144.96802,Entire home/apt,100,2,7,2016-09-30,0.10,1,0,0,
13066534,Cozy and renovated house in Bentleigh East,2482983,Itay,,Glen Eira,-37.92386,145.07529,Entire home/apt,120,2,0,,,2,0,0,
13067687,"LOCATION, CARPARK, FREE WIFI! 2 BR APT , Nth Melb.",61295104,Jessica,,Melbourne,-37.80151,144.95378,Entire home/apt,145,1,3,2016-07-10,0.04,1,0,0,
12469746,Vegetarian Shared Accomodation (I),67487614,Mahesh,,Wyndham,-37.89179,144.73303,Private room,40,2,5,2017-08-11,0.08,2,364,0,
12472203,"Homely, full facilities, private & separate access",60165584,Parveen,,Whitehorse,-37.84935,145.20147,Entire home/apt,60,5,62,2022-05-21,0.85,1,320,10,
12716042,bright bedroom in Wheelers Hill,66850875,Min,,Monash,-37.90438,145.18703,Private room,50,2,21,2017-09-25,0.29,1,248,0,
13068806,BEAUTIFUL ROOM FOR THREE-WEEK STAY IN BRUNSWICK,72433496,Gareth,,Moreland,-37.76116,144.95313,Private room,45,1,0,,,1,0,0,
12718547,"Perfect LOCATION! SECURE, COZY apt & FRIENDLY host",26090745,Sue,,Melbourne,-37.81753,144.96657,Entire home/apt,105,2,154,2022-05-29,2.12,3,270,13,
13073414,Yorkshire Brewery Townhouse in Collingwood,71821645,Jacob,,Yarra,-37.80541,144.98788,Entire home/apt,1212,2,111,2019-05-27,1.55,2,0,0,
13081942,Large furnished single room in St Kilda West,18222829,Greg,,Port Phillip,-37.857,144.97199,Private room,40,1,2,2017-08-05,0.03,1,0,0,
12472893,37 klm from melbourne city,6381388,Linda,,Melton,-37.67353,144.59624,Private room,100,1,0,,,1,358,0,
12474171,Edwardian Home 15 minutes from city,67518341,David,,Maribyrnong,-37.80496,144.88345,Entire home/apt,150,7,1,2017-01-03,0.02,1,0,0,
12719024,"Tidy, pet friendly on request",69151339,Shae,,Darebin,-37.72707,144.99738,Entire home/apt,12624,10,1,2016-04-30,0.01,1,0,0,
12475659,1 BEDROOM APARTMENT ON THE YARRA,4454835,Jacqueline,,Melbourne,-37.82216,144.95327,Entire home/apt,120,2,4,2017-03-28,0.06,1,0,0,
13083635,Toorak Treehouse,37636572,David,,Stonnington,-37.83798,145.00669,Entire home/apt,95,2,0,,,1,0,0,
13083952,"Lovely, sunny family home near the beach.",4998105,Felicity,,Kingston,-37.99356,145.0834,Entire home/apt,195,5,2,2017-12-27,0.03,1,0,0,
13084687,Ringwood at Bardia,43050141,Brett,,Maroondah,-37.81285,145.23449,Entire home/apt,162,2,37,2022-05-10,0.51,5,0,8,
12719506,New York warehouse style apartment,6632893,Sally,,Yarra,-37.82252,144.99224,Entire home/apt,160,5,0,,,1,0,0,
12719908,Luxurious huge home with no expense spared,69159829,Rob,,Hume,-37.67071,144.88046,Entire home/apt,1200,5,0,,,1,96,0,
